Sample,RMSE_km,Rsigma_km,Isigma_km,Csigma_km,Tsigma_km,Converged
158,42.1190782367271,5.17537294290161,0.569178772917375,0.351536153738472,5.21843149241638,1
159,41.7730964303905,5.17532763516793,0.569177764345911,0.351534318554968,5.21838632489782,1
160,40.230124592604,5.17516045909999,0.569164945783704,0.351525128118506,5.21821851100926,1
161,42.2025161448266,5.1753441116209,0.569179659117278,0.351534300152285,5.21840287082413,1
162,41.141266133134,5.17526396241028,0.569174738929726,0.351530881915205,5.2183226160327,1
163,41.21877337927,5.17524279105197,0.569175710416238,0.351529565793965,5.2183016366717,1
164,41.39169914007,5.17527338152342,0.569177004812502,0.351531097016521,5.21833221906021,1
165,41.7506870473691,5.1753002508004,0.569179480782852,0.351532236714598,5.21835921346245,1
166,42.0640861854806,5.17535064472534,0.569179951841105,0.351535499197998,5.21840946272264,1
167,41.1337592887956,5.17526685940446,0.569176111977445,0.351530900956438,5.21832564016688,1
168,40.9183178332694,5.17521553789728,0.569172603746679,0.351528168903535,5.21827417544171,1
169,41.4437518738838,5.17528304854173,0.569175559109434,0.351531898563131,5.21834170262147,1
170,41.4126563186537,5.17529797525179,0.56917358840879,0.351532729360298,5.21835634718432,1
171,41.9206873554224,5.17535531795489,0.569180231745122,0.351535640816224,5.21841413746144,1
172,41.3936613527481,5.17529436963647,0.569174425772815,0.351532608837548,5.21835285453379,1
173,40.8717556996717,5.17523901336189,0.569171609543957,0.351529278204142,5.21829742348676,1
174,42.5499689727292,5.17537661999712,0.569181265040677,0.35153650639355,5.21843543474608,1
175,41.3760392570296,5.17530654659435,0.569176814161039,0.351533783118774,5.21836527062591,1
176,41.7169831560274,5.17532083644084,0.56917719396371,0.351533632548182,5.21837947384432,1
177,42.1897073150208,5.17536425518723,0.569180864074677,0.351535731926822,5.21842307605658,1
178,41.1424353339368,5.17526974039377,0.569175299678351,0.351531124976288,5.21832842387545,1
179,40.9965280374279,5.17522277056838,0.569173485042264,0.351528332950889,5.21828145560891,1
180,40.7993969398454,5.17526057964534,0.569172737259735,0.351531383411502,5.21831907663704,1
181,41.170901742704,5.1752803229424,0.569176621083535,0.351532212930261,5.21833913652136,1
182,41.086142279938,5.17526631047291,0.569176002726937,0.351531489066413,5.21832512346647,1
183,41.0847791314561,5.17524416563377,0.569174500731101,0.351529795011287,5.2183028834085,1
184,41.4163546261371,5.17528686791925,0.56917505773414,0.351532079705889,5.21834544800039,1
185,40.626561543157,5.17520653050704,0.569171764071206,0.351527687520106,5.21826511836184,1
186,40.756453527195,5.17520292973112,0.569175339370276,0.35152719209651,5.21826190389368,1
187,41.7663597997627,5.17533394096454,0.569177091047872,0.351534801577529,5.21839253776423,1
188,41.6908455675512,5.17530572335033,0.569178027242281,0.351532859305359,5.21836452425561,1
189,40.9490576917738,5.17524005217072,0.569173235756205,0.35152938523265,5.21829863830878,1
190,42.171319982761,5.17535797580184,0.569180436881788,0.351535795474098,5.21841680617065,1
191,40.7861769680747,5.17522381220764,0.569173521788281,0.351529214990153,5.21828255207951,1
192,42.4750160841161,5.17536005676972,0.569181860115009,0.351535296853701,5.21841899161283,1
193,41.9789146066262,5.17531644272895,0.569178912614292,0.351533029007178,5.21837526318569,1
194,40.2737427594606,5.17518543634345,0.569170650117542,0.351527010642352,5.2182440311572,1
195,41.4155327259956,5.17528224713306,0.569173585320377,0.35153183171145,5.21834068803709,1
196,41.0302045393315,5.17527057974981,0.569174774056485,0.351531688073163,5.21832923690771,1
197,41.1802704580804,5.17525753843401,0.569174700642125,0.35153026737859,5.21831619948929,1
198,40.8014875060725,5.17523669531842,0.569175307506854,0.351529915938997,5.21829557087809,1
199,41.0077531602175,5.17525565731904,0.569171940462997,0.351530212172468,5.21831402911833,1
200,41.3582229052224,5.17529231832597,0.569178908405771,0.351532775876284,5.21835132033223,1
